"","CATCH_REGION","FISHING.MONTH","FISHING.YEAR","MGMT_AREA","daysWithData"
"1","NWVI",1,2007,25,31
"2","NWVI",1,2007,26,31
"3","NWVI",1,2007,27,31
"4","NWVI",1,2007,125,31
"5","NWVI",1,2007,126,31
"6","NWVI",1,2007,127,31
"7","NWVI",1,2008,25,17
"8","NWVI",1,2008,26,17
"9","NWVI",1,2008,27,17
"10","NWVI",1,2008,125,17
"11","NWVI",1,2008,126,17
"12","NWVI",1,2008,127,17
"13","NWVI",1,2009,25,26
"14","NWVI",1,2009,26,26
"15","NWVI",1,2009,27,26
"16","NWVI",1,2009,125,26
"17","NWVI",1,2009,126,26
"18","NWVI",1,2009,127,26
"19","NWVI",1,2012,25,31
"20","NWVI",1,2012,26,31
"21","NWVI",1,2012,27,31
"22","NWVI",1,2012,125,31
"23","NWVI",1,2012,126,31
"24","NWVI",1,2012,127,31
"25","NWVI",1,2013,25,31
"26","NWVI",1,2013,26,31
"27","NWVI",1,2013,27,31
"28","NWVI",1,2013,125,31
"29","NWVI",1,2013,126,31
"30","NWVI",1,2013,127,31
"31","NWVI",1,2014,25,31
"32","NWVI",1,2014,26,31
"33","NWVI",1,2014,27,31
"34","NWVI",1,2014,125,31
"35","NWVI",1,2014,126,31
"36","NWVI",1,2014,127,31
"37","NWVI",1,2015,25,31
"38","NWVI",1,2015,26,31
"39","NWVI",1,2015,27,31
"40","NWVI",1,2015,125,31
"41","NWVI",1,2015,126,31
"42","NWVI",1,2015,127,31
"43","NWVI",2,2007,25,28
"44","NWVI",2,2007,26,28
"45","NWVI",2,2007,27,28
"46","NWVI",2,2007,125,28
"47","NWVI",2,2007,126,28
"48","NWVI",2,2007,127,28
"49","NWVI",2,2008,25,29
"50","NWVI",2,2008,26,29
"51","NWVI",2,2008,27,29
"52","NWVI",2,2008,125,29
"53","NWVI",2,2008,126,29
"54","NWVI",2,2008,127,29
"55","NWVI",2,2009,25,28
"56","NWVI",2,2009,26,28
"57","NWVI",2,2009,27,28
"58","NWVI",2,2009,125,28
"59","NWVI",2,2009,126,28
"60","NWVI",2,2009,127,28
"61","NWVI",2,2011,25,9
"62","NWVI",2,2011,26,9
"63","NWVI",2,2011,27,9
"64","NWVI",2,2011,125,9
"65","NWVI",2,2011,126,9
"66","NWVI",2,2011,127,9
"67","NWVI",2,2012,25,29
"68","NWVI",2,2012,26,29
"69","NWVI",2,2012,27,29
"70","NWVI",2,2012,125,29
"71","NWVI",2,2012,126,29
"72","NWVI",2,2012,127,29
"73","NWVI",2,2013,25,28
"74","NWVI",2,2013,26,28
"75","NWVI",2,2013,27,28
"76","NWVI",2,2013,125,28
"77","NWVI",2,2013,126,28
"78","NWVI",2,2013,127,28
"79","NWVI",2,2014,25,28
"80","NWVI",2,2014,26,28
"81","NWVI",2,2014,27,28
"82","NWVI",2,2014,125,28
"83","NWVI",2,2014,126,28
"84","NWVI",2,2014,127,28
"85","NWVI",2,2015,25,28
"86","NWVI",2,2015,26,28
"87","NWVI",2,2015,27,28
"88","NWVI",2,2015,125,28
"89","NWVI",2,2015,126,28
"90","NWVI",2,2015,127,28
"91","NWVI",3,2007,25,21
"92","NWVI",3,2007,26,21
"93","NWVI",3,2007,27,21
"94","NWVI",3,2007,125,21
"95","NWVI",3,2007,126,21
"96","NWVI",3,2007,127,21
"97","NWVI",3,2009,25,15
"98","NWVI",3,2009,26,15
"99","NWVI",3,2009,27,15
"100","NWVI",3,2009,125,15
"101","NWVI",3,2009,126,15
"102","NWVI",3,2009,127,15
"103","NWVI",3,2011,25,15
"104","NWVI",3,2011,26,15
"105","NWVI",3,2011,27,15
"106","NWVI",3,2011,125,15
"107","NWVI",3,2011,126,15
"108","NWVI",3,2011,127,15
"109","NWVI",3,2012,25,15
"110","NWVI",3,2012,26,15
"111","NWVI",3,2012,27,15
"112","NWVI",3,2012,125,15
"113","NWVI",3,2012,126,15
"114","NWVI",3,2012,127,15
"115","NWVI",3,2013,25,15
"116","NWVI",3,2013,26,15
"117","NWVI",3,2013,27,15
"118","NWVI",3,2013,125,15
"119","NWVI",3,2013,126,15
"120","NWVI",3,2013,127,15
"121","NWVI",3,2014,25,15
"122","NWVI",3,2014,26,15
"123","NWVI",3,2014,27,15
"124","NWVI",3,2014,125,15
"125","NWVI",3,2014,126,15
"126","NWVI",3,2014,127,15
"127","NWVI",3,2015,25,15
"128","NWVI",3,2015,26,15
"129","NWVI",3,2015,27,15
"130","NWVI",3,2015,125,15
"131","NWVI",3,2015,126,15
"132","NWVI",3,2015,127,15
"133","NWVI",4,2007,25,24
"134","NWVI",4,2007,26,24
"135","NWVI",4,2007,27,24
"136","NWVI",4,2007,125,24
"137","NWVI",4,2007,126,24
"138","NWVI",4,2007,127,24
"139","NWVI",4,2008,25,11
"140","NWVI",4,2008,26,11
"141","NWVI",4,2008,27,11
"142","NWVI",4,2008,125,11
"143","NWVI",4,2008,126,11
"144","NWVI",4,2008,127,11
"145","NWVI",4,2009,25,11
"146","NWVI",4,2009,26,11
"147","NWVI",4,2009,27,11
"148","NWVI",4,2009,125,11
"149","NWVI",4,2009,126,11
"150","NWVI",4,2009,127,11
"151","NWVI",4,2010,25,12
"152","NWVI",4,2010,26,12
"153","NWVI",4,2010,27,12
"154","NWVI",4,2010,125,12
"155","NWVI",4,2010,126,12
"156","NWVI",4,2010,127,12
"157","NWVI",4,2011,25,5
"158","NWVI",4,2011,26,5
"159","NWVI",4,2011,27,5
"160","NWVI",4,2011,125,5
"161","NWVI",4,2011,126,5
"162","NWVI",4,2011,127,5
"163","NWVI",4,2012,25,6
"164","NWVI",4,2012,26,6
"165","NWVI",4,2012,27,6
"166","NWVI",4,2012,125,6
"167","NWVI",4,2012,126,6
"168","NWVI",4,2012,127,6
"169","NWVI",4,2013,25,6
"170","NWVI",4,2013,26,6
"171","NWVI",4,2013,27,6
"172","NWVI",4,2013,125,6
"173","NWVI",4,2013,126,6
"174","NWVI",4,2013,127,6
"175","NWVI",4,2014,25,12
"176","NWVI",4,2014,26,12
"177","NWVI",4,2014,27,12
"178","NWVI",4,2014,125,12
"179","NWVI",4,2014,126,12
"180","NWVI",4,2014,127,12
"181","NWVI",4,2015,25,12
"182","NWVI",4,2015,26,12
"183","NWVI",4,2015,27,12
"184","NWVI",4,2015,125,12
"185","NWVI",4,2015,126,12
"186","NWVI",4,2015,127,12
"187","NWVI",5,2007,25,31
"188","NWVI",5,2007,26,31
"189","NWVI",5,2007,27,31
"190","NWVI",5,2007,125,31
"191","NWVI",5,2007,126,31
"192","NWVI",5,2007,127,31
"193","NWVI",5,2008,25,31
"194","NWVI",5,2008,26,31
"195","NWVI",5,2008,27,31
"196","NWVI",5,2008,125,31
"197","NWVI",5,2008,126,31
"198","NWVI",5,2008,127,31
"199","NWVI",5,2009,25,24
"200","NWVI",5,2009,26,24
"201","NWVI",5,2009,27,24
"202","NWVI",5,2009,125,24
"203","NWVI",5,2009,126,24
"204","NWVI",5,2009,127,24
"205","NWVI",5,2010,25,22
"206","NWVI",5,2010,26,22
"207","NWVI",5,2010,27,22
"208","NWVI",5,2010,125,22
"209","NWVI",5,2010,126,22
"210","NWVI",5,2010,127,22
"211","NWVI",5,2011,25,14
"212","NWVI",5,2011,26,14
"213","NWVI",5,2011,27,14
"214","NWVI",5,2011,125,14
"215","NWVI",5,2011,126,14
"216","NWVI",5,2011,127,13
"217","NWVI",5,2012,25,11
"218","NWVI",5,2012,26,11
"219","NWVI",5,2012,27,11
"220","NWVI",5,2012,125,11
"221","NWVI",5,2012,126,11
"222","NWVI",5,2012,127,11
"223","NWVI",5,2013,25,15
"224","NWVI",5,2013,26,15
"225","NWVI",5,2013,27,15
"226","NWVI",5,2013,125,15
"227","NWVI",5,2013,126,15
"228","NWVI",5,2013,127,15
"229","NWVI",5,2014,25,30
"230","NWVI",5,2014,26,30
"231","NWVI",5,2014,27,30
"232","NWVI",5,2014,125,30
"233","NWVI",5,2014,126,30
"234","NWVI",5,2014,127,30
"235","NWVI",5,2015,25,31
"236","NWVI",5,2015,26,31
"237","NWVI",5,2015,27,31
"238","NWVI",5,2015,125,31
"239","NWVI",5,2015,126,31
"240","NWVI",5,2015,127,31
"241","NWVI",6,2007,25,15
"242","NWVI",6,2007,26,15
"243","NWVI",6,2007,27,15
"244","NWVI",6,2007,125,15
"245","NWVI",6,2007,126,15
"246","NWVI",6,2007,127,15
"247","NWVI",6,2008,25,15
"248","NWVI",6,2008,26,15
"249","NWVI",6,2008,27,15
"250","NWVI",6,2008,125,15
"251","NWVI",6,2008,126,15
"252","NWVI",6,2008,127,15
"253","NWVI",6,2009,25,7
"254","NWVI",6,2009,26,7
"255","NWVI",6,2009,27,7
"256","NWVI",6,2009,125,7
"257","NWVI",6,2009,126,7
"258","NWVI",6,2009,127,7
"259","NWVI",6,2010,25,7
"260","NWVI",6,2010,26,7
"261","NWVI",6,2010,27,7
"262","NWVI",6,2010,125,7
"263","NWVI",6,2010,126,7
"264","NWVI",6,2010,127,7
"265","NWVI",6,2011,25,6
"266","NWVI",6,2011,26,6
"267","NWVI",6,2011,27,6
"268","NWVI",6,2011,125,6
"269","NWVI",6,2011,126,6
"270","NWVI",6,2011,127,6
"271","NWVI",7,2011,125,4
"272","NWVI",7,2011,126,4
"273","NWVI",7,2011,127,4
"274","NWVI",7,2014,125,8
"275","NWVI",7,2014,126,8
"276","NWVI",7,2014,127,8
"277","NWVI",8,2008,125,3
"278","NWVI",8,2008,126,3
"279","NWVI",8,2008,127,3
"280","NWVI",8,2009,125,3
"281","NWVI",8,2009,126,3
"282","NWVI",8,2009,127,3
"283","NWVI",8,2010,125,3
"284","NWVI",8,2010,126,3
"285","NWVI",8,2010,127,3
"286","NWVI",8,2011,125,3
"287","NWVI",8,2011,126,3
"288","NWVI",8,2011,127,3
"289","NWVI",8,2012,125,1
"290","NWVI",8,2012,126,1
"291","NWVI",8,2012,127,1
"292","NWVI",8,2014,125,8
"293","NWVI",8,2014,126,8
"294","NWVI",8,2014,127,8
"295","NWVI",8,2015,125,2
"296","NWVI",8,2015,126,2
"297","NWVI",8,2015,127,2
"298","NWVI",9,2007,125,11
"299","NWVI",9,2007,126,11
"300","NWVI",9,2007,127,11
"301","NWVI",9,2008,125,20
"302","NWVI",9,2008,126,20
"303","NWVI",9,2008,127,20
"304","NWVI",9,2010,125,8
"305","NWVI",9,2010,126,8
"306","NWVI",9,2010,127,8
"307","NWVI",9,2012,125,16
"308","NWVI",9,2012,126,16
"309","NWVI",9,2012,127,16
"310","NWVI",9,2013,125,12
"311","NWVI",9,2013,126,12
"312","NWVI",9,2013,127,12
"313","NWVI",9,2014,125,24
"314","NWVI",9,2014,126,24
"315","NWVI",9,2014,127,24
"316","NWVI",9,2015,125,16
"317","NWVI",9,2015,126,14
"318","NWVI",9,2015,127,16
"319","NWVI",10,2007,125,11
"320","NWVI",10,2007,126,11
"321","NWVI",10,2007,127,11
"322","NWVI",10,2008,125,5
"323","NWVI",10,2008,126,5
"324","NWVI",10,2008,127,5
"325","NWVI",10,2012,125,2
"326","NWVI",10,2012,126,2
"327","NWVI",10,2012,127,2
"328","NWVI",10,2013,125,4
"329","NWVI",10,2013,126,4
"330","NWVI",10,2013,127,4
"331","NWVI",10,2014,125,29
"332","NWVI",10,2014,126,29
"333","NWVI",10,2014,127,29
"334","NWVI",10,2015,125,28
"335","NWVI",10,2015,126,28
"336","NWVI",10,2015,127,28
"337","NWVI",11,2008,125,12
"338","NWVI",11,2008,126,12
"339","NWVI",11,2008,127,12
"340","NWVI",11,2011,25,16
"341","NWVI",11,2011,26,16
"342","NWVI",11,2011,27,16
"343","NWVI",11,2011,125,16
"344","NWVI",11,2011,126,16
"345","NWVI",11,2011,127,16
"346","NWVI",11,2012,25,12
"347","NWVI",11,2012,26,12
"348","NWVI",11,2012,27,12
"349","NWVI",11,2012,125,12
"350","NWVI",11,2012,126,12
"351","NWVI",11,2012,127,12
"352","NWVI",11,2013,25,24
"353","NWVI",11,2013,26,24
"354","NWVI",11,2013,27,24
"355","NWVI",11,2013,125,24
"356","NWVI",11,2013,126,24
"357","NWVI",11,2013,127,24
"358","NWVI",11,2014,25,26
"359","NWVI",11,2014,26,26
"360","NWVI",11,2014,27,26
"361","NWVI",11,2014,125,30
"362","NWVI",11,2014,126,30
"363","NWVI",11,2014,127,30
"364","NWVI",11,2015,25,30
"365","NWVI",11,2015,26,30
"366","NWVI",11,2015,27,30
"367","NWVI",11,2015,125,30
"368","NWVI",11,2015,126,30
"369","NWVI",11,2015,127,30
"370","NWVI",12,2008,25,2
"371","NWVI",12,2008,26,2
"372","NWVI",12,2008,27,2
"373","NWVI",12,2008,125,2
"374","NWVI",12,2008,126,2
"375","NWVI",12,2008,127,2
"376","NWVI",12,2011,25,31
"377","NWVI",12,2011,26,31
"378","NWVI",12,2011,27,31
"379","NWVI",12,2011,125,31
"380","NWVI",12,2011,126,31
"381","NWVI",12,2011,127,31
"382","NWVI",12,2012,25,31
"383","NWVI",12,2012,26,31
"384","NWVI",12,2012,27,31
"385","NWVI",12,2012,125,31
"386","NWVI",12,2012,126,31
"387","NWVI",12,2012,127,31
"388","NWVI",12,2013,25,31
"389","NWVI",12,2013,26,31
"390","NWVI",12,2013,27,31
"391","NWVI",12,2013,125,31
"392","NWVI",12,2013,126,31
"393","NWVI",12,2013,127,31
"394","NWVI",12,2014,25,31
"395","NWVI",12,2014,26,31
"396","NWVI",12,2014,27,31
"397","NWVI",12,2014,125,31
"398","NWVI",12,2014,126,31
"399","NWVI",12,2014,127,31
"400","NWVI",12,2015,25,31
"401","NWVI",12,2015,26,31
"402","NWVI",12,2015,27,31
"403","NWVI",12,2015,125,31
"404","NWVI",12,2015,126,31
"405","NWVI",12,2015,127,31
"406","SWVI",1,2007,23,31
"407","SWVI",1,2007,24,31
"408","SWVI",1,2007,123,31
"409","SWVI",1,2007,124,31
"410","SWVI",1,2008,23,17
"411","SWVI",1,2008,24,17
"412","SWVI",1,2008,123,17
"413","SWVI",1,2008,124,17
"414","SWVI",1,2009,23,26
"415","SWVI",1,2009,24,26
"416","SWVI",1,2009,123,26
"417","SWVI",1,2009,124,26
"418","SWVI",1,2012,23,31
"419","SWVI",1,2012,24,31
"420","SWVI",1,2012,123,31
"421","SWVI",1,2012,124,31
"422","SWVI",1,2013,23,31
"423","SWVI",1,2013,24,31
"424","SWVI",1,2013,123,31
"425","SWVI",1,2013,124,31
"426","SWVI",1,2014,23,31
"427","SWVI",1,2014,24,31
"428","SWVI",1,2014,123,31
"429","SWVI",1,2014,124,31
"430","SWVI",1,2015,23,31
"431","SWVI",1,2015,24,31
"432","SWVI",1,2015,123,31
"433","SWVI",1,2015,124,31
"434","SWVI",2,2007,23,28
"435","SWVI",2,2007,24,28
"436","SWVI",2,2007,123,28
"437","SWVI",2,2007,124,28
"438","SWVI",2,2008,23,29
"439","SWVI",2,2008,24,29
"440","SWVI",2,2008,123,29
"441","SWVI",2,2008,124,29
"442","SWVI",2,2009,23,28
"443","SWVI",2,2009,24,28
"444","SWVI",2,2009,123,28
"445","SWVI",2,2009,124,28
"446","SWVI",2,2011,23,9
"447","SWVI",2,2011,24,9
"448","SWVI",2,2011,123,9
"449","SWVI",2,2011,124,9
"450","SWVI",2,2012,23,29
"451","SWVI",2,2012,24,29
"452","SWVI",2,2012,123,29
"453","SWVI",2,2012,124,29
"454","SWVI",2,2013,23,28
"455","SWVI",2,2013,24,28
"456","SWVI",2,2013,123,28
"457","SWVI",2,2013,124,28
"458","SWVI",2,2014,23,28
"459","SWVI",2,2014,24,28
"460","SWVI",2,2014,123,28
"461","SWVI",2,2014,124,28
"462","SWVI",2,2015,23,28
"463","SWVI",2,2015,24,28
"464","SWVI",2,2015,123,28
"465","SWVI",2,2015,124,28
"466","SWVI",3,2007,23,21
"467","SWVI",3,2007,24,21
"468","SWVI",3,2007,123,6
"469","SWVI",3,2007,124,6
"470","SWVI",3,2009,23,15
"471","SWVI",3,2009,24,15
"472","SWVI",3,2011,23,15
"473","SWVI",3,2011,24,15
"474","SWVI",3,2012,23,15
"475","SWVI",3,2012,24,15
"476","SWVI",3,2013,23,15
"477","SWVI",3,2013,24,15
"478","SWVI",3,2013,123,2
"479","SWVI",3,2013,124,2
"480","SWVI",3,2014,23,15
"481","SWVI",3,2014,24,15
"482","SWVI",3,2015,23,15
"483","SWVI",3,2015,24,15
"484","SWVI",4,2007,23,24
"485","SWVI",4,2007,24,24
"486","SWVI",4,2007,123,15
"487","SWVI",4,2007,124,15
"488","SWVI",4,2008,23,11
"489","SWVI",4,2008,24,11
"490","SWVI",4,2009,23,11
"491","SWVI",4,2009,24,11
"492","SWVI",4,2010,23,12
"493","SWVI",4,2010,24,12
"494","SWVI",4,2011,23,5
"495","SWVI",4,2011,24,5
"496","SWVI",4,2012,23,6
"497","SWVI",4,2012,24,6
"498","SWVI",4,2013,23,6
"499","SWVI",4,2013,24,6
"500","SWVI",4,2014,23,12
"501","SWVI",4,2014,24,12
"502","SWVI",4,2015,23,12
"503","SWVI",4,2015,24,12
"504","SWVI",5,2007,23,31
"505","SWVI",5,2007,24,31
"506","SWVI",5,2007,123,31
"507","SWVI",5,2007,124,31
"508","SWVI",5,2008,23,31
"509","SWVI",5,2008,24,31
"510","SWVI",5,2008,123,25
"511","SWVI",5,2008,124,30
"512","SWVI",5,2009,23,21
"513","SWVI",5,2009,24,21
"514","SWVI",5,2009,123,15
"515","SWVI",5,2009,124,21
"516","SWVI",5,2010,23,22
"517","SWVI",5,2010,24,22
"518","SWVI",5,2010,123,16
"519","SWVI",5,2010,124,22
"520","SWVI",5,2011,23,14
"521","SWVI",5,2011,24,14
"522","SWVI",5,2011,123,8
"523","SWVI",5,2011,124,14
"524","SWVI",5,2012,23,11
"525","SWVI",5,2012,24,11
"526","SWVI",5,2012,123,5
"527","SWVI",5,2012,124,11
"528","SWVI",5,2013,23,15
"529","SWVI",5,2013,24,15
"530","SWVI",5,2013,123,9
"531","SWVI",5,2013,124,15
"532","SWVI",5,2014,23,30
"533","SWVI",5,2014,24,30
"534","SWVI",5,2014,123,24
"535","SWVI",5,2014,124,30
"536","SWVI",5,2015,23,31
"537","SWVI",5,2015,24,31
"538","SWVI",5,2015,123,15
"539","SWVI",5,2015,124,31
"540","SWVI",6,2007,23,15
"541","SWVI",6,2007,24,15
"542","SWVI",6,2007,123,15
"543","SWVI",6,2007,124,15
"544","SWVI",6,2008,23,15
"545","SWVI",6,2008,24,15
"546","SWVI",6,2008,123,15
"547","SWVI",6,2008,124,15
"548","SWVI",6,2009,24,7
"549","SWVI",6,2009,124,7
"550","SWVI",6,2010,23,7
"551","SWVI",6,2010,24,7
"552","SWVI",6,2010,123,7
"553","SWVI",6,2010,124,7
"554","SWVI",6,2011,23,6
"555","SWVI",6,2011,24,6
"556","SWVI",6,2011,123,6
"557","SWVI",6,2011,124,6
"558","SWVI",8,2008,123,3
"559","SWVI",8,2008,124,3
"560","SWVI",8,2009,123,3
"561","SWVI",8,2009,124,3
"562","SWVI",8,2010,123,3
"563","SWVI",8,2010,124,3
"564","SWVI",8,2011,123,3
"565","SWVI",8,2011,124,3
"566","SWVI",8,2012,123,1
"567","SWVI",8,2012,124,1
"568","SWVI",8,2014,123,8
"569","SWVI",8,2014,124,8
"570","SWVI",8,2015,123,2
"571","SWVI",8,2015,124,2
"572","SWVI",9,2007,123,3
"573","SWVI",9,2007,124,3
"574","SWVI",9,2008,123,14
"575","SWVI",9,2008,124,14
"576","SWVI",9,2009,123,6
"577","SWVI",9,2010,123,15
"578","SWVI",9,2010,124,8
"579","SWVI",9,2011,123,5
"580","SWVI",9,2012,123,21
"581","SWVI",9,2012,124,16
"582","SWVI",9,2013,123,1
"583","SWVI",9,2013,124,1
"584","SWVI",9,2014,123,16
"585","SWVI",9,2014,124,16
"586","SWVI",9,2015,123,16
"587","SWVI",9,2015,124,16
"588","SWVI",10,2007,123,11
"589","SWVI",10,2007,124,11
"590","SWVI",10,2008,123,5
"591","SWVI",10,2008,124,5
"592","SWVI",10,2012,123,2
"593","SWVI",10,2012,124,2
"594","SWVI",10,2013,123,4
"595","SWVI",10,2013,124,4
"596","SWVI",10,2014,123,29
"597","SWVI",10,2014,124,29
"598","SWVI",10,2015,124,28
"599","SWVI",11,2008,123,12
"600","SWVI",11,2008,124,12
"601","SWVI",11,2011,23,16
"602","SWVI",11,2011,24,16
"603","SWVI",11,2011,123,16
"604","SWVI",11,2011,124,16
"605","SWVI",11,2012,23,12
"606","SWVI",11,2012,24,12
"607","SWVI",11,2012,123,12
"608","SWVI",11,2012,124,12
"609","SWVI",11,2013,23,24
"610","SWVI",11,2013,24,24
"611","SWVI",11,2013,123,24
"612","SWVI",11,2013,124,24
"613","SWVI",11,2014,23,26
"614","SWVI",11,2014,24,26
"615","SWVI",11,2014,123,30
"616","SWVI",11,2014,124,30
"617","SWVI",11,2015,23,30
"618","SWVI",11,2015,24,30
"619","SWVI",11,2015,123,30
"620","SWVI",11,2015,124,30
"621","SWVI",12,2008,23,2
"622","SWVI",12,2008,24,2
"623","SWVI",12,2008,123,2
"624","SWVI",12,2008,124,2
"625","SWVI",12,2011,23,31
"626","SWVI",12,2011,24,31
"627","SWVI",12,2011,123,31
"628","SWVI",12,2011,124,31
"629","SWVI",12,2012,23,31
"630","SWVI",12,2012,24,31
"631","SWVI",12,2012,123,31
"632","SWVI",12,2012,124,31
"633","SWVI",12,2013,23,31
"634","SWVI",12,2013,24,31
"635","SWVI",12,2013,123,31
"636","SWVI",12,2013,124,31
"637","SWVI",12,2014,23,31
"638","SWVI",12,2014,24,31
"639","SWVI",12,2014,123,31
"640","SWVI",12,2014,124,31
"641","SWVI",12,2015,23,31
"642","SWVI",12,2015,24,31
"643","SWVI",12,2015,123,31
"644","SWVI",12,2015,124,31
