CRUISE NUMBER,STATION,SPECIES,SPECIES CODE,SUBSAMPLE WT,TOTAL WT (g),COUNT,COMMENTS
201778,QCSD01,SABLEFISH,455,,980,2,
,,HERRING,96,,127,,
,,SQUID,92A,,707,,
2019-125,JS01,PINK,108J,,1870,51,
2019-125,JS01,CHINOOK,124J,,630,12,
2019-125,JS01,CHUM,112J,,10180,129,
2019-125,JS01,SABLEFISH,455,,830,7,
2019-125,JS01,HERRING,96,,11350,,
2019-125,JS01,MOON JELLY,,,6,1,
2019-125,JS01,AEQUOREA,,,104,6,
2019-125,JS01,LIONS MANE,,,0.01,,
2019-125,JS02,CHINOOK,124J,,370,5,
2019-125,JS02,CHUM,112J,,1110,12,
2019-125,JS02,PINK,108J,,29,1,
2019-125,JS02,SABLEFISH,455,,260,2,
2019-125,JS02,HERRING,96,,70,5,
2019-125,JS02,AEQUOREA,,,120,15,
2019-125,JS02,SOCKEYE,118J,,31,1,
2019-125,JS03,AEQUOREA,,,170,16,
2019-125,JS03,LIONS MANE,,,220,1,
2019-125,JS03,SOCKEYE,118J,,32,1,
2019-125,JS03,CHINOOK,124J,,35,1,
2019-125,JS03,POLYORCHIS,,,56,3,CAM PICS
2019-125,JS04,SOCKEYE,118J,,78,2,
2019-125,JS04,AEQUOREA,,,28,3,
2019-125,JS04,CHINOOK,124J,,41,1,
2019-125,JS04,PINK,108J,,93,2,
2019-125,JS05,PINK,108J,,336,8,
2019-125,JS05,CHUM,112J,,73,1,
2019-125,JS05,CHINOOK,124J,,163,2,
2019-125,JS05,SOCKEYE,118J,,36,1,
2019-125,JS05,JELLY,,,17,1,
2019-125,JS05,AEQUOREA,,,80,13,
2019-125,JS06,PINK,108J,,1010,22,
2019-125,JS06,CHUM,112J,,52,1,
2019-125,JS06,CHINOOK,124J,,84,1,
2019-125,JS06,AEQUOREA,,,5,1,
2019-125,JS07,CHUM,112J,,1500,18,
2019-125,JS07,CHUM ADULT,112A,,3490,1,
2019-125,JS07,COHO,115J,,580,1,
2019-125,JS07,PINK,108J,,5850,141,
2019-125,JS07,SOCKEYE,118J,,870,24,
2019-125,JS07,AEQUOREA,,,25,4,
2019-125,JS07,POLYORCHIS,,,35,1,
2019-125,JS07,SABLEFISH,,,330,2,
2019-125,JS08,SOCKEYE,118J,,32,1,
2019-125,JS08,CHINOOK ADULT,124A,,541,1,
2019-125,JS08,PINK,108J,,353,7,
2019-125,JS08,CHUM,112J,,85,1,
2019-125,JS08,LIONS MANE,,,78,1,
2019-125,JS08,AEQUOREA,,,8,8,
2019-125,JS08,POLYORCHIS,,,,1,
2019-125,QCST01,PINK,108J,,13750,,
2019-125,QCST01,CHUM,112J,,11670,,
2019-125,QCST01,CHINOOK,124J,,72,1,
2019-125,QCST01,SOCKEYE,118J,,450,10,
2019-125,QCST01,SABLEFISH,455,,3410,,
2019-125,QCST01,HERRING,96,,33,1,
2019-125,QCST01,MOON JELLY,,,1420,3,
2019-125,QCST01,AEQUOREA,,,370,19,
2019-125,QCST02,CHINOOK,124J,,374,3,
2019-125,QCST02,SABLEFISH,455,,1690,13,
2019-125,QCST02,FRIED EGG JELLY,,,670,1,
2019-125,QCST02,LIONS MANE,,,6760,2,
2019-125,QCST02,AEQUOREA,,,200,15,
2019-125,QCST03,SALMON MIX,,,44540,,
2019-125,QCST03,SABLEFISH,455,,56460,,
2019-125,QCST03,COHO,115J,1140,,4,
2019-125,QCST03,CHUM,112J,10800,,100,
2019-125,QCST03,PINK,108J,7340,,125,
2019-125,QCST03,SOCKEYE,118J,29,,1,
2019-125,QCST03,AEQUOREA,,,2620,,
2019-125,QCST03,MOON JELLY,,,3440,2,
2019-125,QCST03,LIONS MANE,,,17460,3,
2019-125,QCST04,CHUM,112J,,303,3,
2019-125,QCST04,CHINOOK,124J,,268,2,
2019-125,QCST04,SABLEFISH,455,,1340,10,
2019-125,QCST04,MOON JELLY,,,2850,7,
2019-125,QCST04,AEQUOREA,,,1340,7,
2019-125,QCST04,WATER JELLY,,,590,,
2019-125,QCST04,FRIED EGG JELLY,,,5760,4,
2019-125,QCST04,YOY ROCKFISH,,,,1,
2019-125,QCST05,SABLEFISH,,,2220,19,
2019-125,QCST05,MOON JELLY,,,3280,5,
2019-125,QCST05,PINK,,,79,1,
2019-125,QCST05,AEQUOREA,,,2300,8,
2019-125,QCST05,OPALESCENT SQUID,,,58,77,
2019-125,QCST05,WATER JELLY,,,2410,,
2019-125,QCSD01,OPALESCENT SQUID,,,79,101,
2019-125,QCSD01,SABLEFISH,,,207,2,
2019-125,QCSD01,JELLY (SIPHONOPHORE),,,14,2,
2019-125,QCSD01,WATER JELLY,,,32,,
2019-125,QCSD02,CHUM,,,1400,11,
2019-125,QCSD02,CHINOOK ADULT,,,1540,1,
2019-125,QCSD02,PROWFISH,,,96,1,
2019-125,QCSD02,PINK,,,108,1,
2019-125,QCSD02,SABLEFISH,,,215,2,
2019-125,QCSD02,AEQUOREA,,,1750,,
2019-125,QCSD02,FRIED EGG JELLY,,,2040,,
2019-125,QCSD02,MOON JELLY,,,2010,5,
2019-125,QCSD02,LIONS MANE,,,7060,1,
2019-125,QCSD02,WATER JELLY,,,1870,,
2019-125,QCSD03,COHO,,,1160,5,
2019-125,QCSD03,CHINOOK,,,358,2,
2019-125,QCSD03,SABLEFISH,,,158,1,
2019-125,QCSD03,OPALESCENT SQUID,,,713,,
2019-125,QCSD03,CHUM,,,102,1,
2019-125,QCSD03,MOON JELLY,,,1220,14,
2019-125,QCSD03,AEQUOREA,,,254,2,
2019-125,QCSD03,WATER JELLY,,,1300,,
2019-125,RI01,PINK,,,2240,21,
2019-125,RI01,CHUM,,,14730,101,
2019-125,RI01,COHO,,,700,3,
2019-125,RI01,CHINOOK,,,241,1,
2019-125,RI01,HERRING,,,190,2,
2019-125,RI01,SABLEFISH,,,350,3,
2019-125,RI01,WATER JELLY,,,1240,,
2019-125,T01,OPALESCENT SQUID,,,140810,,
2019-125,T01,CHUM,,,5690,1,
2019-125,T01,LIONS MANE,,,3460,1,420MM BELL DIAMETER
2019-125,T01,CHINOOK,,,172,1,
2019-125,T01,MOON JELLY,,,1550,2,
2019-125,T01,AEQUOREA,,,1460,,
2019-125,T01,WATER JELLY,,,570,,
2019-125,T02,SABLEFISH,,,11600,,
2019-125,T02,PINK,,,600,10,
2019-125,T02,SOCKEYE,,,350,7,
2019-125,T02,CHUM,,,500,3,
2019-125,T02,FRIED EGG JELLY,,,560,,
2019-125,T02,LIONS MANE,,,8190,2,510MM BELL DIAMETER
2019-125,T02,WATER JELLY/SQUID MIX,,,14720,,
2019-125,T03,SOCKEYE,,,75,1,
2019-125,T03,MOON JELLY,,,2070,,"320MM, 210MM BELL DIAMETER"
2019-125,T03,PINK,,,179,2,
2019-125,T03,SABLEFISH,,,104,1,
2019-125,T03,LIONS MANE,,,2420,1,
2019-125,T03,WATER JELLY,,,5810,,
2019-125,T03,OPALESCENT SQUID,,30=34G,42,42,
2019-125,T04,FRIED EGG JELLY,,,1600,,
2019-125,T04,AEQUOREA,,,2770,,
2019-125,T04,LIONS MANE,,,1630,,
2019-125,T04,MOON JELLY,,,380,1,
2019-125,T04,OPALESCENT SQUID,,,13,21,
2019-125,T05,OPALESCENT SQUID,,31300,31300,,
2019-125,T05,AEQUOREA,,,880,,
2019-125,T05,MOON JELLY,,,1340,,230MM BELL DIAMETER
2019-125,T06,OPALESCENT SQUID,,20=134G,6580,,
2019-125,T06,YOY SILVERGREY,,,,,
2019-125,T06,SABLEFISH,,,240,2,
2019-125,T06,FRIED EGG JELLY,,,3750,,
2019-125,T06,MOON JELLY,,,1050,,"245MM, 131MM, 114MM BELL DIAMETER"
2019-125,T06,WATER JELLY,,,6640,,
2019-125,T06,AEQUOREA,,,1420,7,
2019-125,QCSD04,AEQUOREA,,11610,11610,,
2019-125,QCSD04,SABLEFISH,,,1600,14,
2019-125,QCSD04,HERRING,,,16,1,
2019-125,QCSD04,OPALESCENT SQUID,,,2350,,
2019-125,QCSD04,CHINOOK,,,159,1,
2019-125,QCSD04,MOON JELLY,,,450,1,180MM BELL DIAMETER
2019-125,QCSD04,WATER JELLY,,,8050,,
2019-125,QCSD05,CHUM,,,340,3,
2019-125,QCSD05,MOON JELLY,,,12470,,
2019-125,QCSD05,SABLEFISH,,,4860,36,
2019-125,QCSD05,OPALESCENT SQUID,,20=75G,15400,,
2019-125,QCSD05,WATER JELLY,,,4830,,
2019-125,QCSD06,CHINOOK ADULT,,,2960,3,
2019-125,QCSD06,COHO,,,433,2,
2019-125,QCSD06,OPALESCENT SQUID,,30=50G,1400,,
2019-125,QCSD06,MOON JELLY,,,2220,2,
2019-125,QCSD06,AEQUOREA,,,920,3,
2019-125,QCSD06,WATER JELLY,,,2530,,
2019-125,QCST06,PINK,,,4770,62,
2019-125,QCST06,CHUM,,,4140,37,
2019-125,QCST06,MOON JELLY,,,9740,,
2019-125,QCST06,SABLEFISH,,,2900,21,
2019-125,QCST06,SOCKEYE,,,89,1,
2019-125,QCST06,AEQUOREA,,,830,,
2019-125,QCST06,LIONS MANE,,,9000,,
2019-125,QCST06,YOY SHORTBELLY ROCKEFISH,,,,1,
2019-125,QCST06,WATER JELLY,,,790,,
2019-125,QCST06,HERRING,,,91,1,
2019-125,QCST07,PINK,,,980,13,
2019-125,QCST07,CHUM,,,197,2,
2019-125,QCST07,FRIED EGG JELLY,,,149,,
2019-125,QCST08,PINK,,,4950,78,
2019-125,QCST08,CHUM,,,1870,19,
2019-125,QCST08,SABLEFISH,,,1550,12,
2019-125,QCST08,COHO,,,2650,8,
2019-125,QCST08,CHINOOK,,,142,1,
2019-125,QCST08,SOCKEYE,,,43,1,
2019-125,QCST08,FRIED EGG JELLY,,,650,1,
2019-125,QCST08,CHUM ADULT,,,4370,1,
2019-125,QCST09,PINK,,,9530,157,
2019-125,QCST09,CHUM,,,7860,81,
2019-125,QCST09,COHO,,,2320,7,
2019-125,QCST09,SABLEFISH,,,250,2,
2019-125,QCST09,CHINOOK,,,166,1,
2019-125,QCST09,FRIED EGG JELLY,,,310,1,
2019-125,QCST09,MOON JELLY,,,330,1,
2019-125,BR01,CHINOOK,,,1520,22,
2019-125,BR01,CHINOOK ADULT,,,700,1,
2019-125,BR01,CHUM,,,270,3,
2019-125,BR01,MOON JELLY,,,274,1,
2019-125,BR01,SABLEFISH,,,403,3,
2019-125,BR01,LIONS MANE,,,4010,1,
2019-125,BR02,CHINOOK,,,135,1,
2019-125,BR03,CHINOOK,,,680,8,
2019-125,BR03,CHUM,,,922,11,
2019-125,BR04,CHUM,,,1140,15,
2019-125,BR04,CHINOOK,,,171,1,
2019-125,BR04,FRIED EGG JELLY,,,1100,1,
2019-125,BR04,LIONS MANE,,,10740,3,
2019-125,BR04,MOON JELLY,,,410,1,
2019-125,BR04,WATER JELLY,,,170,,
2019-125,BR05,HERRING,,,11,1,
2019-125,BR05,LIONS MANE,,,2436,6,
2019-125,KI01,STARRY FLOUNDER,,,863,1,
2019-125,KI01,LIONS MANE,,,2600,,
2019-125,KI02,CHINOOK,,,330,5,
2019-125,KI02,STARRY FLOUNDER,,,1550,1,
2019-125,KI02,LIONS MANE,,,6110,1,
2019-125,KI02,MOON JELLY,,,332,2,
2019-125,KI02,WALLEYE POLLOCK,,,9,1,
