CRUISE NUMBER,STATION,SPECIES,FISH NUMBER,FL (mm),WT (mm),CWT,FIN CLIP,SEX,OTOLITH #,(0/1),DNA #,SAMPLE,1-PREY,1-VOL (cc),1-D,2-PREY,2-VOL (cc),2-D,3-PREY,3-VOL (cc),3-D,COMMENTS
2019-125,JS07,CHUM,008,191,69,,,,CM-1-C5,,112330,M,OAA,0.1,3,,,,,,,
2019-125,JS07,CHUM,009,202,81,,,,CM-1-C6,,112331,M,OAA,0.01,3,,,,,,,
2019-125,JS07,CHUM,010,205,91,,,,CM-1-C7,,112332,M,OAA,0.2,3,,,,,,,
2019-125,JS07,CHUM,011,195,72,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,012,197,72,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,013,204,85,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,014,199,77,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,015,200,86,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,016,210,96,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,017,202,83,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM,018,211,98,,,,,,,,,,,,,,,,,
2019-125,JS07,CHUM ADULT,001,668,3490,,,M,CM-1-C8,,112333,M,M002,,,,,,,,,
2019-125,JS07,COHO,001,362,572,,,M,CO-1-A1,,115401,M,96,2.5,5,,,,,,,
2019-125,JS07,SABLEFISH,001,254,145,,,,,,,,OAA,0.01,3,M011,0.01,5,,,,
2019-125,JS07,SABLEFISH,002,269,179,,,,,,,,M010,1,5,,,,,,,
2019-125,JS08,SOCKEYE,001,145,32,,,,SE-1-B4,,118116,W,OAA,0.01,3,,,,,,,BLOOD 347
2019-125,JS08,CHINOOK ADULT,001,345,541,,AD,M,CK-1-B9,,124321,M,96,10.5,1,,,,,,,
2019-125,JS08,CHUM,001,201,84,,,,CM-1-C9,,112334,W,OAA,0.01,3,,,,,,,
2019-125,JS08,PINK,001,160,39,,,,PK-1-D6,,108243,W,OAA,0.1,1,,,,,,,
2019-125,JS08,PINK,002,203,84,,,,PK-1-D7,,108244,W,OAA,0.01,1,,,,,,,
2019-125,JS08,PINK,003,157,35,,,,PK-1-D8,,108245,W,OAA,0.5,3,,,,,,,
2019-125,JS08,PINK,004,163,39,,,,PK-1-D9,,108246,W,OAA,0.01,1,,,,,,,
2019-125,JS08,PINK,005,168,48,,,,PK-1-D10,,108247,W,OAA,0.9,3,,,,,,,
2019-125,JS08,PINK,006,170,51,,,,PK-1-D11,,108248,M,OAA,0.01,5,,,,,,,
2019-125,JS08,PINK,007,166,49,,,,PK-1-D12,,108249,M,OAA,0.6,3,,,,,,,
2019-125,QCST01,SOCKEYE,001,152,38,,,,SE-1-B5,,118117,W,RAB,1.9,3,OAA,0.01,5,,,,BLOOD 348
2019-125,QCST01,SOCKEYE,002,151,36,,,,SE-1-B6,,118118,W,RAB,1.3,3,OAA,0.01,5,,,,BLOOD 349
2019-125,QCST01,SOCKEYE,003,167,50,,,,SE-1-B7,,118119,W,OAA,0.4,3,RAB,1.9,3,,,,BLOOD 350
2019-125,QCST01,SOCKEYE,004,171,53,,,,SE-1-B8,,118120,W,RAB,1.3,3,OAA,0.4,3,,,,BLOOD 351
2019-125,QCST01,SOCKEYE,005,168,52,,,,SE-1-B9,,118121,W,RAB,1.2,3,,,,,,,BLOOD 352
2019-125,QCST01,SOCKEYE,006,170,57,,,,SE-1-B10,,118122,M,RAB,2.1,3,OAA,0.3,3,,,,BLOOD 353
2019-125,QCST01,SOCKEYE,007,157,40,,,,SE-1-B11,1,118123,M,RAB,0.8,3,,,,,,,BLOOD 354
2019-125,QCST01,SOCKEYE,008,161,43,,,,SE-1-B12,,118124,M,RAB,1,3,OAA,0.3,3,,,,BLOOD 355
2019-125,QCST01,SOCKEYE,009,170,52,,,,SE-1-C1,,118125,M,RAB,2.1,3,,,,,,,BLOOD 356
2019-125,QCST01,SOCKEYE,010,143,30,,,,SE-1-C2,,118126,M,RAB,1.1,3,OAA,0.01,5,,,,BLOOD 357
2019-125,QCST01,PINK,001,177,58,,,,PK-1-E1,,108250,W,RAB,4.2,3,OAA,0.01,3,,,,
2019-125,QCST01,PINK,002,150,37,,,,PK-1-E2,,108251,W,RAB,2.4,3,OAA,0.01,3,,,,
2019-125,QCST01,PINK,003,148,32,,,,PK-1-E3,,108252,W,RAB,1.3,3,,,,,,,
2019-125,QCST01,PINK,004,168,57,,,,PK-1-E4,,108253,W,RAB,3.9,3,,,,,,,
2019-125,QCST01,PINK,005,195,88,,,,PK-1-E5,,108254,W,RAB,5.5,3,,,,,,,
2019-125,QCST01,PINK,006,152,37,,,,PK-1-E6,,108255,M,RAB,2.2,3,OAA,0.01,3,,,,
2019-125,QCST01,PINK,007,173,57,,,,PK-1-E7,,108256,M,RAB,2.9,3,,,,,,,
2019-125,QCST01,PINK,008,157,43,,,,PK-1-E8,,108257,M,RAB,0.5,3,,,,,,,
2019-125,QCST01,PINK,009,169,50,,,,PK-1-E9,,108258,M,RAB,2.8,3,OAA,0.01,3,,,,
2019-125,QCST01,PINK,010,172,56,,,,PK-1-E10,,108259,M,RAB,3.6,3,OAA,0.01,3,,,,
2019-125,QCST01,PINK,011,180,74,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,012,177,54,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,013,209,102,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,014,158,42,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,015,190,81,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,016,158,43,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,017,179,70,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,018,160,48,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,019,195,84,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,020,172,60,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,021,156,43,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,022,141,29,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,023,161,52,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,024,177,66,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,025,171,57,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,026,170,57,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,027,170,57,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,028,190,82,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,029,182,66,,,,,,,,,,,,,,,,,
2019-125,QCST01,PINK,030,171,57,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHINOOK,001,185,70,,,,CK-1-B10,,124322,W,RAB,3.2,5,,,,,,,
2019-125,QCST01,HERRING,001,145,33,,,,,,,,M002,,,,,,,,,
2019-125,QCST01,SABLEFISH,001,246,137,,,,,,,W,RAB,9.5,3,,,,,,,
2019-125,QCST01,SABLEFISH,002,235,136,,,,,,,W,RAB,11,3,,,,,,,
2019-125,QCST01,SABLEFISH,003,249,126,,,,,,,W,RAB,2,5,,,,,,,
2019-125,QCST01,SABLEFISH,004,244,136,,,,,,,W,RAB,7.5,3,,,,,,,
2019-125,QCST01,SABLEFISH,005,247,139,,,,,,,W,RAB,14.5,3,,,,,,,
2019-125,QCST01,SABLEFISH,006,213,89,,,,,,,M,RAB,7,3,,,,,,,
2019-125,QCST01,SABLEFISH,007,240,125,,,,,,,M,RAB,11.2,3,,,,,,,
2019-125,QCST01,SABLEFISH,008,235,122,,,,,,,M,RAB,2,3,,,,,,,
2019-125,QCST01,SABLEFISH,009,242,113,,,,,,,M,RAB,3.5,3,OAA,0.01,1,,,,
2019-125,QCST01,SABLEFISH,010,250,131,,,,,,,M,RAB,5.5,3,M010,2.5,5,,,,
2019-125,QCST01,SABLEFISH,011,243,130,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,012,241,122,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,013,239,123,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,014,225,104,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,015,227,115,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,016,230,101,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,017,241,137,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,018,247,148,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,019,238,142,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,020,257,138,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,021,234,125,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,022,233,114,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,023,237,124,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,024,240,116,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,025,228,109,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,026,236,120,,,,,,,,,,,,,,,,,
2019-125,QCST01,SABLEFISH,027,236,128,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,001,198,82,,,,CM-1-C10,,112335,W,RAB,3,3,OAA,0.7,3,,,,
2019-125,QCST01,CHUM,002,200,97,,,,CM-1-C11,,112336,W,RAB,3.5,3,OAA,3,3,,,,
2019-125,QCST01,CHUM,003,203,105,,,,CM-1-C12,,112337,W,OAA,3,3,RAB,1.5,3,,,,
2019-125,QCST01,CHUM,004,205,98,,,,CM-1-D1,,112338,W,OAA,2,1,RAB,3.4,3,,,,
2019-125,QCST01,CHUM,005,201,93,,,,CM-1-D2,1,112339,W,OAA,4.5,1,RAB,0.01,5,,,,
2019-125,QCST01,CHUM,006,174,51,,,,CM-1-D3,,112340,M,RAB,1.7,5,OAA,0.01,3,,,,
2019-125,QCST01,CHUM,007,207,107,,,,CM-1-D4,,112341,M,RAB,3.1,3,OAA,1,1,,,,
2019-125,QCST01,CHUM,008,193,95,,,,CM-1-D5,,112342,M,RAB,3.5,3,OAA,0.5,3,,,,
2019-125,QCST01,CHUM,009,166,47,,,,CM-1-D6,,112343,M,RAB,0.9,3,,,,,,,
2019-125,QCST01,CHUM,010,204,94,,,,CM-1-D7,,112344,M,RAB,3,3,OAA,0.5,3,,,,
2019-125,QCST01,CHUM,011,198,87,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,012,191,79,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,013,211,105,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,014,194,85,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,015,207,103,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,016,216,124,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,017,207,106,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,018,222,130,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,019,202,91,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,020,192,86,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,021,177,65,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,022,201,95,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,023,207,111,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,024,209,103,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,025,194,89,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,026,213,105,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,027,206,96,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,028,210,104,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,029,214,112,,,,,,,,,,,,,,,,,
2019-125,QCST01,CHUM,030,202,100,,,,,,,,,,,,,,,,,
2019-125,QCST02,CHINOOK,001,195,82,,,,CK-1-B11,,124323,W,M010,2.3,5,RAB,0.2,3,,,,
2019-125,QCST02,CHINOOK,002,213,122,,,,CK-1-B12,,124324,W,M002,,,,,,,,,
2019-125,QCST02,CHINOOK,003,239,168,,,,CK-1-C1,,124325,W,OAA,0.01,3,,,,,,,
2019-125,QCST02,SABLEFISH,001,247,136,,,,,,,M,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,002,267,163,,,,,,,M,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,003,247,132,,,,,,,M,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,004,229,104,,,,,,,M,OAA,0.2,5,,,,,,,
2019-125,QCST02,SABLEFISH,005,252,135,,,,,,,M,M010,0.01,3,,,,,,,
2019-125,QCST02,SABLEFISH,006,232,113,,,,,,,,OAA,0.01,5,,,,,,,
2019-125,QCST02,SABLEFISH,007,242,120,,,,,,,,M011,0.2,5,,,,,,,
2019-125,QCST02,SABLEFISH,008,250,123,,,,,,,,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,009,232,106,,,,,,,,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,010,247,132,,,,,,,,M002,,,,,,,,,
2019-125,QCST02,SABLEFISH,011,243,130,,,,,,,,,,,,,,,,,
2019-125,QCST02,SABLEFISH,012,248,128,,,,,,,,,,,,,,,,,
2019-125,QCST02,SABLEFISH,013,246,133,,,,,,,,,,,,,,,,,
2019-125,QCST03,COHO,001,284,316,,AD,,CO-1-A2,,115402,M,OAA,8.4,1,,,,,,,
2019-125,QCST03,COHO,002,262,231,,,,CO-1-A3,,115403,M,OAA,1.5,3,92A,0.5,3,,,,
2019-125,QCST03,COHO,003,242,177,,,,CO-1-A4,,115404,M,OAA,1.5,5,,,,,,,
2019-125,QCST03,COHO,004,320,406,,AD,F,CO-1-A5,,115405,M,OAA,3.5,1,,,,,,,
2019-125,QCST03,SABLEFISH,001,245,123,,,,,,,M,M011,0.3,5,,,,,,,
2019-125,QCST03,SABLEFISH,002,230,106,,,,,,,M,M011,1.1,5,,,,,,,
2019-125,QCST03,SABLEFISH,003,230,115,,,,,,,M,M011,0.7,5,,,,,,,
2019-125,QCST03,SABLEFISH,004,249,125,,,,,,,M,M011,0.2,5,,,,,,,
2019-125,QCST03,SABLEFISH,005,230,105,,,,,,,M,M011,0.1,5,,,,,,,
2019-125,QCST03,SABLEFISH,006,235,114,,,,,,,,M011,1,5,,,,,,,
2019-125,QCST03,SABLEFISH,007,241,126,,,,,,,,M011,1,5,,,,,,,
2019-125,QCST03,SABLEFISH,008,240,113,,,,,,,,M011,0.7,5,,,,,,,
2019-125,QCST03,SABLEFISH,009,237,117,,,,,,,,M011,0.7,5,,,,,,,
2019-125,QCST03,SABLEFISH,010,232,115,,,,,,,,M011,0.5,5,,,,,,,
2019-125,QCST03,PINK,001,189,64,,,,PK-1-E11,,108260,W,M011,0.5,5,,,,,,,
2019-125,QCST03,PINK,002,186,70,,,,PK-1-E12,,108261,W,M011,0.2,5,OAA,0.01,5,,,,
2019-125,QCST03,PINK,003,182,63,,,,PK-1-F1,,108262,W,OAA,0.9,3,M014,0.01,3,,,,
2019-125,QCST03,PINK,004,159,39,,,,PK-1-F2,,108263,W,M011,0.4,5,,,,,,,
2019-125,QCST03,PINK,005,182,62,,,,PK-1-F3,,108264,W,OAA,1.3,3,,,,,,,
2019-125,QCST03,PINK,006,177,58,,,,PK-1-F4,,108265,M,M011,0.5,5,OAA,0.01,5,,,,
2019-125,QCST03,PINK,007,161,41,,,,PK-1-F5,,108266,M,OAA,0.3,3,M011,0.2,5,,,,
2019-125,QCST03,PINK,008,179,58,,,,PK-1-F6,,108267,M,M011,0.4,5,,,,,,,
2019-125,QCST03,PINK,009,204,89,,,,PK-1-F7,,108268,M,OAA,0.5,5,,,,,,,
2019-125,QCST03,PINK,010,186,66,,,,PK-1-F8,,108269,M,OAA,0.4,3,,,,,,,
2019-125,QCST03,PINK,011,198,84,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,012,198,87,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,013,176,58,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,014,200,83,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,015,148,31,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,016,183,61,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,017,200,85,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,018,188,70,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,019,201,83,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,020,186,72,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,021,192,74,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,022,197,80,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,023,176,57,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,024,180,65,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,025,175,55,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,026,181,67,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,027,185,70,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,028,190,67,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,029,166,46,,,,,,,,,,,,,,,,,
2019-125,QCST03,PINK,030,147,32,,,,,,,,,,,,,,,,,
2019-125,QCST03,SOCKEYE,001,134,29,,,,SE-1-C3,,118127,W,M011,0.7,5,,,,,,,NO BLOOD-TOO LONG
2019-125,QCST03,CHUM,001,212,104,,,,CM-1-D8,,112345,W,M011,1.8,5,OAA,0.01,3,,,,
2019-125,QCST03,CHUM,002,197,87,,,,CM-1-D9,,112346,W,M011,0.3,5,,,,,,,
2019-125,QCST03,CHUM,003,204,95,,,,CM-1-D10,,112347,W,M011,0.2,5,,,,,,,
2019-125,QCST03,CHUM,004,206,99,,,,CM-1-D11,,112348,W,M011,0.3,5,,,,,,,
2019-125,QCST03,CHUM,005,200,90,,,,CM-1-D12,,112349,W,M011,0.5,5,OAA,0.01,3,,,,
2019-125,QCST03,CHUM,006,211,109,,,,CM-1-E1,,112350,M,M011,0.4,5,,,,,,,
2019-125,QCST03,CHUM,007,213,118,,,,CM-1-E2,,112351,M,M011,0.1,5,,,,,,,
2019-125,QCST03,CHUM,008,211,114,,,,CM-1-E3,,112352,M,M011,0.1,5,OAA,0.01,5,,,,
2019-125,QCST03,CHUM,009,201,91,,,,CM-1-E4,,112353,M,M011,0.8,5,OAA,0.01,5,,,,
2019-125,QCST03,CHUM,010,215,116,,,,CM-1-E5,,112354,M,M011,0.7,5,,,,,,,
2019-125,QCST03,CHUM,011,221,128,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,012,205,94,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,013,214,120,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,014,218,120,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,015,216,115,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,016,194,85,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,017,221,121,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,018,203,100,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,019,203,99,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,020,201,102,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,021,212,118,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,022,225,133,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,023,214,110,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,024,220,119,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,025,212,104,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,026,192,90,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,027,211,115,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,028,215,119,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,029,200,90,,,,,,,,,,,,,,,,,
2019-125,QCST03,CHUM,030,201,93,,,,,,,,,,,,,,,,,
2019-125,QCST04,CHINOOK,001,203,104,,,,CK-1-C2,,124326,W,RAB,0.1,5,M010,0.1,5,OAB,0.1,5,
2019-125,QCST04,CHINOOK,002,238,161,,,,CK-1-C3,,124327,W,M010,0.2,5,,,,,,,
2019-125,QCST04,CHUM,001,224,117,,,,CM-1-E6,,112355,W,M011,0.01,5,,,,,,,
2019-125,QCST04,CHUM,002,200,84,,,,CM-1-E7,,112356,W,RAB,0.01,5,,,,,,,
2019-125,QCST04,CHUM,003,214,102,,,,CM-1-E8,,112357,W,M002,,,,,,,,,
2019-125,QCST04,SABLEFISH,001,247,131,,,,,,,W,M002,,,,,,,,,
2019-125,QCST04,SABLEFISH,002,254,137,,,,,,,W,WAA,0.1,5,RAB,0.01,5,,,,MEG
2019-125,QCST04,SABLEFISH,003,259,143,,,,,,,W,M002,,,,,,,,,
2019-125,QCST04,SABLEFISH,004,238,116,,,,,,,W,RAB,0.1,5,WAA,0.1,5,M011,0.01,5,MEG
2019-125,QCST04,SABLEFISH,005,240,122,,,,,,,W,M011,0.2,5,,,,,,,
2019-125,QCST04,SABLEFISH,006,233,118,,,,,,,M,3GO,0.2,3,M011,0.01,5,,,,
2019-125,QCST04,SABLEFISH,007,252,155,,,,,,,M,M011,0.7,5,,,,,,,
2019-125,QCST04,SABLEFISH,008,248,132,,,,,,,M,M002,,,,,,,,,
2019-125,QCST04,SABLEFISH,009,250,145,,,,,,,M,M002,,,,,,,,,
2019-125,QCST04,SABLEFISH,010,236,115,,,,,,,M,M002,,,,,,,,,
2019-125,QCST05,MOON JELLY,001,301,,,,,,,,,,,,,,,,,,BELL DIAMETER
2019-125,QCST05,MOON JELLY,002,183,,,,,,,,,,,,,,,,,,BELL DIAMETER
2019-125,QCST05,MOON JELLY,003,191,,,,,,,,,,,,,,,,,,BELL DIAMETER
2019-125,QCST05,MOON JELLY,004,287,,,,,,,,,,,,,,,,,,BELL DIAMETER
2019-125,QCST05,MOON JELLY,005,198,,,,,,,,,,,,,,,,,,BELL DIAMETER
2019-125,QCST05,SABLEFISH,001,250,144,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,002,250,134,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,003,241,119,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,004,231,116,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,005,255,149,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,006,224,97,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,007,240,114,,,,,,,,M002,,,,,,,,,
2019-125,QCST05,SABLEFISH,008,231,111,,,,,,,,M011,0.01,5,RAB,0.01,5,,,,
2019-125,QCST05,SABLEFISH,009,217,92,,,,,,,,M011,0.01,5,,,,,,,
2019-125,QCST05,SABLEFISH,010,237,130,,,,,,,,M011,0.2,5,,,,,,,
2019-125,QCST05,SABLEFISH,011,231,113,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,012,225,107,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,013,253,134,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,014,241,125,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,015,229,109,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,016,242,131,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,017,220,92,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,018,226,94,,,,,,,,,,,,,,,,,
2019-125,QCST05,SABLEFISH,019,226,97,,,,,,,,,,,,,,,,,
2019-125,QCST05,PINK,001,201,81,,,,PK-1-F9,,108270,W,WAA,0.01,3,OAA,0.01,3,,,,MEG
2019-125,QCST05,OPALESCENT SQUID,001,023,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,002,019,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,003,021,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,004,022,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,005,022,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,006,039,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,007,035,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,008,021,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,009,025,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,010,031,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,011,018,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,012,031,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,013,022,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,014,027,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,015,026,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,016,037,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,017,022,,,,,,,,,,,,,,,,,,MANTLE LENGTH
2019-125,QCST05,OPALESCENT SQUID,018,026,,,,,,,,,,,,,,,,,,MANTLE LENGTH
