"STOCK_1","REGION_1","HSS_REGION_1"
"SOOS_CR_H","PUGET SOUND","PUGET SOUND"
"NIMPKISH","ECVI","ECVI"
"COWICHAN","ECVI","ECVI"
"SKYKOMISH_SU","PUGET SOUND","PUGET SOUND"
"SKAGIT_SU","PUGET SOUND","PUGET SOUND"
"","",""
"RAPID_SP","SNAKE-SP/SU","COLUMBIA-SNAKE"
"JOHNSON_CR","SNAKE-SP/SU","COLUMBIA-SNAKE"
"ANDREW_CR","STIKINE","SE ALASKA"
"CRIPPLE_CR","UNUK RIVER","SE ALASKA"
"HARRISON","LWFR-F","FRASER"
"SPRING_CR_H","MID COLUMBIA-SP","COLUMBIA-SNAKE"
"STILLAGUAMISHS","PUGET SOUND","PUGET SOUND"
"ELKIN","MUFR","FRASER"
"HANFORD_REACH","UPPER COLUMBIA-SU/F","COLUMBIA-SNAKE"
"YAKOUN","QCI","QCI"
"MORICE","SKEENA BULKLEY","SKEENA"
"L_KALUM@AC","SKEENA LOWER","SKEENA"
"LITTLE_TAHLTAN","STIKINE","SE ALASKA"
"U_ATNARKO","NOMN","BC NORTH COAST"
"CHRISTINA","STIKINE","SE ALASKA"
"L_CARIBOO","MUFR","FRASER"
"SILMILKAMEEN_S","UPPER COLUMBIA-SU/F","COLUMBIA-SNAKE"
"VERRETT","STIKINE","SE ALASKA"
"KWINAMASS","NOMN","BC NORTH COAST"
"CHICKAMIN","ALASKA","ALASKA GENERAL"
"CRANBERRY","NASS","NASS"
"HIRSCH","NOMN","BC NORTH COAST"
"SLAMGEESH","SKEENA UPPER","SKEENA"
"UPPER_PITT","LWFR-SP","FRASER"
"NAKINA","TAKU","SE ALASKA"
"L_CHILCOTI","MUFR","FRASER"
"COTTONWOOD","MUFR","FRASER"
"CLEARWATER","NOTH","FRASER"
"NOOKSACK_SP@KE","PUGET SOUND","PUGET SOUND"
"BAEZAEKO","MUFR","FRASER"
"CHILKO","MUFR","FRASER"
"KLINAKLINI","SOMN","BC SOUTH COAST"
"BLUE","NOTH","FRASER"
"TRASK_HAT_F","NORTH & CENTRAL O","OREGON NORTH & CENTRAL"
"KILBELLA","NOMN","BC NORTH COAST"
"U_DEAN","NOMN","BC NORTH COAST"
"QUINAULT_F","COASTAL WASH","WASHINGTON COAST"
"BATTLE_CREEK","CENTRAL VALLEY-F","CALIFORNIA"
"L_KALUM","SKEENA LOWER","SKEENA"
"TLUPANA","WCVI","WCVI"
"PUNTLEDGE_F","ECVI","ECVI"
"BIG_SILVER","LWFR-SP","FRASER"
"SEASKINNISH","NASS","NASS"
"BEAR","SKEENA UPPER","SKEENA"
"ECSTALL","SKEENA LOWER","SKEENA"
"BUTE","SOMN","BC SOUTH COAST"
"GREEN@KENDAL_F","PUGET SOUND","PUGET SOUND"
"CLACKAMAS_N","UPPER WILLAMETTE","COLUMBIA-SNAKE"
"KISPIOX","SKEENA MID","SKEENA"
"CRAIG_RIVER","STIKINE","SE ALASKA"
"ATNARKO","NOMN","BC NORTH COAST"
"SERPENTINE","PUGET SOUND","PUGET SOUND"
"SANDY","UPPER WILLAMETTE","COLUMBIA-SNAKE"
"SARITA","WCVI","WCVI"
"HOMATHKO","SOMN","BC SOUTH COAST"
"BUTTE_SP","CENTRAL VALLEY-SP","CALIFORNIA"
"KITLOPE","NOMN","BC NORTH COAST"
"WENATCHEE_SU","UPPER COLUMBIA-SU/F","COLUMBIA-SNAKE"
"KITIMAT","NOMN","BC NORTH COAST"
"MARBLE@NVI","WCVI","WCVI"
"BULKLEY_SP","SKEENA BULKLEY","SKEENA"
"L_THOMPSON","SOTH","FRASER"
"COWLITZ_H_SP","LOWER COLUMBIA","COLUMBIA-SNAKE"
"CHILLIWAC@STAV","LWFR-F","FRASER"
"SHAKES_CREEK","STIKINE","SE ALASKA"
"KENNEDY","WCVI","WCVI"
"NACHES_SP","MID COLUMBIA-SP","COLUMBIA-SNAKE"
"MARIA_SLOUGH","LWFR-SU","FRASER"
"LITTLE","SOTH","FRASER"
"LITTLECAMPBELL","PUGET SOUND","PUGET SOUND"
"SIUSLAW","NORTH & CENTRAL O","OREGON NORTH & CENTRAL"
"SOLDUC_F","COASTAL WASH","WASHINGTON COAST"
"GREEN_F@SOOS","PUGET SOUND","PUGET SOUND"
"COWEEMAN","LOWER COLUMBIA","COLUMBIA-SNAKE"
"CONUMA","WCVI","WCVI"
"LYON'S_FERRY_F","SNAKE-F","COLUMBIA-SNAKE"
"LEMIEUX_CR","NOTH","FRASER"
"WANNOCK","NOMN","BC NORTH COAST"
"TAHINI_R","ALASKA","ALASKA GENERAL"
"BIG_BOULDER_C","ALASKA","ALASKA GENERAL"
"KITWANGA","SKEENA MID","SKEENA"
"TOQUART","WCVI","WCVI"
"NANAIMO","ECVI","ECVI"
"ZEBALLOS","WCVI","WCVI"
"QUEETS","COASTAL WASH","WASHINGTON COAST"
"W_CHILLIWACK","LWFR-F","FRASER"
"UMPQUA_SP","S.OREGON/CAL COAST","OREGON COAST"
"ENTIAT_SP","UPPER COLUMBIA-SP","COLUMBIA-SNAKE"
"QUINSAM","ECVI","ECVI"
"MCCALL_HAT","SNAKE-SP/SU","COLUMBIA-SNAKE"
"SAN_JUAN","WCVI","WCVI"
"BIRKENHEAD","LWFR-SP","FRASER"
"SKEENA@TERRACE","SKEENA MID","SKEENA"
"ISHKHEENICKH","NASS","NASS"
"ROBERTSON","WCVI","WCVI"
"L_SHUSWAP","SOTH","FRASER"
"NORTH_SANTIAM","UPPER WILLAMETTE","COLUMBIA-SNAKE"
"BARRIERE","NOTH","FRASER"
"EUCHRE_CR","NORTH & CENTRAL O","OREGON NORTH & CENTRAL"
"SNOHOMISH_R","PUGET SOUND","PUGET SOUND"
"ABERNATHY_F","LOWER COLUMBIA","COLUMBIA-SNAKE"
"WINCHUK","S.OREGON/CAL COAST","OREGON COAST"
"L_SHUS@U_ADAMS","SOTH","FRASER"
"ELK_RIVER","NORTH & CENTRAL O","OREGON NORTH & CENTRAL"
"NANAIMO_SU","ECVI","ECVI"
"BIGQUL@LANG","ECVI","ECVI"
"UP_SALMON-SP","SNAKE-SP/SU","COLUMBIA-SNAKE"
"DEAN_RIVER","NOMN","BC NORTH COAST"
"TETE_JAUNE","UPFR","FRASER"
"PUNTLEDGE_SU","ECVI","ECVI"
"WANNOCK_R","NOMN","BC NORTH COAST"
"TAHSIS","WCVI","WCVI"
"KITEEN","NASS","NASS"
"KATEEN","NOMN","BC NORTH COAST"
"MERCED","CENTRAL VALLEY-F","CALIFORNIA"
"8702GOLD","WCVI","WCVI"
"SILMILKAMEEN_S","UP COL-SU/F","COLUMBIA-SNAKE"
"WILLOW","UPFR","FRASER"
"SPRING_CR_H","MID COL-SP","COLUMBIA-SNAKE"
"SOUTH_THOM","SOTH","FRASER"
"UNUK","ALASKA","ALASKA GENERAL"
"DEADMAN","LWTH","FRASER"
"HOLMES","UPFR","FRASER"
"WHITE_F","PUGET SOUND","PUGET SOUND"
"HANFORD_REACH","UP COL-SU/F","COLUMBIA-SNAKE"
"CHILLIWACK_F","LWFR-F","FRASER"
"COWLITZ_H_SP","LOW COL","COLUMBIA-SNAKE"
"BIG_QUALICUM","ECVI","ECVI"
"NORTH_SANTIAM","UP WILLAMETTE","COLUMBIA-SNAKE"
"SLIM_C","UPFR","FRASER"
"U_COLDWAT_SP","LWTH","FRASER"
"CHEAKAMUS_SU","SOMN","BC SOUTH COAST"
"PHILLIPS","SOMN","BC SOUTH COAST"
"NICOLA","LWTH","FRASER"
"NITINAT","WCVI","WCVI"
