event,set,date,latDegreeStart,latMinuteStart,longDegreeStart,longMinuteStart,latDegreeEnd,latMinuteEnd,longDegreeEnd,longMinuteEnd,time,lines,depthBow,depthStern,predators,gear,chinookTagged,seaState,light,notes
CT2019_001,001,11/7/2019,48,47.413,126,01.559,48,47.734,126,04.911,0845,4,32,32,N,spoons and flashers,Y,0.5,overcast,tagged chinook had chest bruising
CT2019_002,002,11/7/2019,48,47.734,126,04.911,48,47.768,126,07.215,0930,4,32,34,N,spoons and flashers,Y,0.5,overcast,fatmeter malfunctioned
CT2019_003,003,11/7/2019,48,47.768,126,07.215,48,47.388,126,09.752,1015,4,32,36,N,spoons and flashers,Y,0.5,overcast,
CT2019_004,004,11/7/2019,48,47.388,126,09.752,48,46.745,126,12.264,1100,4,32,40,unknown,spoons and flashers,N,1,partly sunny,gear lost to presumed predator
CT2019_005,005,11/7/2019,48,46.745,126,12.264,48,46.616,126,09.275,1145,4,32,40,N,spoons and flashers,N,0.5,partly sunny,turned from outside
CT2019_006,006,11/7/2019,48,46.616,126,09.275,48,46.726,126,06.573,1230,4,32,40,N,spoons and flashers,N,0.5,fog,
CT2019_007,007,11/7/2019,48,46.726,126,06.573,48,46.718,126,03.500,1315,4,32,34,N,spoons and flashers,Y,1,fog,
CT2019_008,008,11/7/2019,48,46.718,126,03.500,48,46.822,126,00.570,1400,4,32,34,N,spoons and flashers,N,1,cloudy,changed to ~30 minute sets
CT2019_009,009,11/7/2019,48,46.822,126,00.570,48,47.046,125,58.422,1430,4,32,34,N,spoons and flashers,N,1,cloudy,
CT2019_010,010,11/7/2019,48,47.046,125,58.422,48,47.096,125,56.032,1500,4,32,34,N,spoons and flashers,N,0.5,cloudy,
CT2019_011,011,11/7/2019,48,47.096,125,56.032,48,46.892,125,53.887,1530,4,32,34,N,spoons and flashers,N,0.5,partly sunny,
CT2019_012,012,11/7/2019,48,46.892,125,53.887,48,46.512,125,51.331,1600,4,32,34,N,spoons and flashers,Y,0.5,partly sunny,
CT2019_013,013,11/7/2019,48,46.512,125,51.331,48,46.182,125,49.500,1635,4,32,34,N,spoons and flashers,Y,0,sunny,
CT2019_014,014,11/7/2019,48,46.182,125,49.500,48,46.018,125,47.581,1700,4,32,34,N,spoons and flashers,N,0,sunny,
CT2019_015,015,11/7/2019,48,46.018,125,47.581,NA,NA,NA,NA,1735,4,32,34,N,spoons and flashers,Y,0,sunny,
CT2019_016,016,12/7/2019,48,38.677,125,38.024,48,37.392,125,38.345,0720,4,30,30,N,spoons and flashers,Y,0.5,fog,
CT2019_017,017,12/7/2019,48,37.392,125,38.345,48,36.183,125,39.642,0800,4,30,30,N,spoons and flashers,Y,0,fog,
CT2019_018,018,12/7/2019,48,36.183,125,39.642,48,36.504,125,39.199,0830,4,30,30,N,spoons and flashers,N,0,fog,
CT2019_019,019,12/7/2019,48,36.504,125,39.199,48,37.816,125,37.430,0900,2,30,NA,N,spoons and flashers,Y,0,fog,switch to 2 lines
CT2019_020,020,12/7/2019,48,37.816,125,37.430,48,37.328,125,37.331,0935,2,30,NA,N,spoons and flashers,Y,0,fog,
CT2019_021,021,12/7/2019,48,37.328,125,37.331,48,37.174,125,37.888,1005,2,30,NA,N,spoons and flashers,Y,0,fog,extra long set due to large numbers of fish; check start lat
CT2019_022,022,12/7/2019,48,37.174,125,37.888,48,38.235,125,37.289,1120,2,30,NA,N,spoons and flashers,Y,0,fog,
CT2019_023,023,12/7/2019,48,38.235,125,37.289,48,37.430,125,38.043,1200,2,30,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_024,024,12/7/2019,48,37.430,125,38.043,48,38.240,125,37.562,1230,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_025,025,12/7/2019,48,38.240,125,37.562,48,39.536,125,37.339,1315,2,30,NA,N,spoons and flashers,Y,0,overcast,STOP at 1345 and 48 39.536 126 37.339
CT2019_026,026,15/7/2019,48,54.788,125,32.395,48,55.632,125,34.343,0615,2,18,NA,N,spoons and flashers,Y,0,sunny,
CT2019_027,027,15/7/2019,48,55.632,125,34.343,48,55.295,125,33.585,0645,2,18,NA,N,spoons and flashers,Y,0,sunny,
CT2019_028,028,15/7/2019,48,55.295,125,33.585,48,54.738,125,32.422,0715,2,18,NA,N,spoons and flashers,N,0,partly sunny,
CT2019_029,029,15/7/2019,48,54.738,125,32.422,48,55.762,125,34.467,0745,2,18,NA,sea lion,spoons and flashers,Y,0,partly sunny,
CT2019_030,030,15/7/2019,48,55.762,125,34.467,48,56.223,125,35.255,0820,2,18,NA,N,spoons and flashers,Y,0,sunny,
CT2019_031,031,15/7/2019,48,56.223,125,35.255,48,55.327,125,33.655,0845,2,18,NA,N,spoons and flashers,N,0,partly sunny,
CT2019_032,032,15/7/2019,48,55.327,125,33.655,48,55.035,125,33.171,0915,2,18,NA,N,spoons and flashers,N,0,partly sunny,
CT2019_033,033,15/7/2019,48,55.035,125,33.171,NA,NA,NA,NA,0945,2,18,NA,N,spoons and flashers,Y,0,partly sunny,pause for break
CT2019_034,034,15/7/2019,48,54.192,125,37.327,48,53.166,125,40.115,1050,2,18,NA,N,spoons and flashers,Y,0,partly sunny,
CT2019_035,035,15/7/2019,48,53.166,125,40.115,48,52.457,125,42.034,1130,2,18,NA,N,spoons and flashers,Y,0,partly sunny,
CT2019_036,036,15/7/2019,48,52.457,125,42.034,48,51.373,125,41.388,1200,2,18,NA,N,spoons and flashers,Y,0,partly sunny,
CT2019_037,037,15/7/2019,48,51.373,125,41.388,48,50.224,125,40.268,1230,2,18,NA,shark,spoons and flashers,Y,0,partly sunny,
CT2019_038,038,15/7/2019,48,50.224,125,40.268,48,49.990,125,38.379,1300,2,18,NA,N,spoons and flashers,N,1,partly sunny,
CT2019_039,039,15/7/2019,48,49.990,125,38.379,48,48.932,125,36.668,1330,2,18,NA,N,spoons and flashers,N,0,partly sunny,
CT2019_040,040,15/7/2019,48,48.932,125,36.668,48,49.311,125,34.321,1400,2,18,NA,N,spoons and flashers,Y,0.5,partly sunny,
CT2019_041,041,15/7/2019,48,49.311,125,34.321,48,50.043,125,32.436,1430,2,18,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_042,042,15/7/2019,48,50.043,125,32.436,48,51.097,125,31.652,1500,2,18,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_043,043,15/7/2019,48,51.097,125,31.652,48,52.202,125,31.508,1530,2,18,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_044,044,15/7/2019,48,52.202,125,31.508,48,53.174,125,31.708,1600,2,18,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_045,045,15/7/2019,48,53.174,125,31.708,48,53.790,125,32.390,1630,2,18,NA,N,spoons and flashers,N,0.5,sunny,STOP at 1700 and 48 53.790 126 125 32.390
CT2019_046,046,16/7/2019,48,38.771,125,37.727,48,37.477,125,39.173,0730,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_047,047,16/7/2019,48,37.477,125,39.173,48,36.179,125,39.378,0800,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_048,048,16/7/2019,48,36.179,125,39.378,48,35.303,125,40.182,0830,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_049,049,16/7/2019,48,35.303,125,40.182,48,34.326,125,41.705,0900,2,30,NA,N,spoons and flashers,Y,0,overcast,
CT2019_050,050,16/7/2019,48,34.326,125,41.705,48,33.542,125,43.570,0930,2,30,NA,N,spoons and flashers,Y,0.25,overcast,
CT2019_051,051,16/7/2019,48,33.542,125,43.570,48,33.018,125,44.999,1000,2,30,NA,N,spoons and flashers,Y,0.25,sunny,
CT2019_052,052,16/7/2019,48,33.018,125,44.999,48,32.366,125,46.570,1030,2,34,NA,N,spoons and flashers,Y,0.25,sunny,
CT2019_053,053,16/7/2019,48,32.366,125,46.570,48,31.822,125,48.704,1100,2,34,NA,N,spoons and flashers,Y,0.25,sunny,
CT2019_054,054,16/7/2019,48,31.822,125,48.704,48,31.530,125,50.318,1130,2,34,NA,N,spoons and flashers,Y,0,sunny,STOP at 1200 and 48 31.530 125 50.318
CT2019_055,055,16/7/2019,48,31.472,125,50.942,48,31.475,125,52.958,1230,2,34,NA,N,spoons and flashers,Y,0,sunny,
CT2019_056,056,16/7/2019,48,31.475,125,52.958,48,31.620,125,54.610,1300,2,36,NA,N,spoons and flashers,N,0,sunny,
CT2019_057,057,16/7/2019,48,31.620,125,54.610,48,32.377,125,52.979,1330,2,36,NA,shark,spoons and flashers,Y,0,sunny,
CT2019_058,058,16/7/2019,48,32.377,125,52.979,48,33.083,125,51.685,1400,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_059,059,16/7/2019,48,33.083,125,51.685,48,34.078,125,49.589,1430,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_060,060,16/7/2019,48,34.078,125,49.589,48,34.737,125,47.918,1500,2,36,NA,N,spoons and flashers,Y,0,sunny,STOP at 1530 and 48 34.737 125 47.918
CT2019_061,061,17/7/2019,48,54.860,125,32.732,48,55.963,125,34.806,0700,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_062,062,17/7/2019,48,55.963,125,34.806,48,56.131,125,35.198,0730,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_063,063,17/7/2019,48,56.131,125,35.198,48,55.241,125,33.632,0800,2,18,NA,N,spoons and flashers,Y,1.5,overcast,
CT2019_064,064,17/7/2019,48,55.241,125,33.632,48,55.625,125,34.371,0830,2,18,NA,N,spoons and flashers,Y,1.5,rain,
CT2019_065,065,17/7/2019,48,55.625,125,34.371,48,56.430,125,36.157,0900,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_066,066,17/7/2019,48,56.430,125,36.157,48,55.867,125,34.713,0930,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_067,067,17/7/2019,48,55.867,125,34.713,48,54.848,125,32.690,1000,2,18,NA,N,spoons and flashers,N,2,overcast,
CT2019_068,068,17/7/2019,48,54.848,125,32.690,48,55.213,125,33.633,1030,2,18,NA,N,spoons and flashers,Y,2,rain,
CT2019_069,069,17/7/2019,48,55.213,125,33.633,48,56.097,125,35.120,1100,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_070,070,17/7/2019,48,56.097,125,35.120,48,55.999,125,35.092,1130,2,18,NA,N,spoons and flashers,N,1,overcast,
CT2019_071,071,17/7/2019,48,55.999,125,35.092,48,55.169,125,33.420,1200,2,18,NA,killer whale,spoons and flashers,Y,0.5,overcast,6-12 pod of killer whales near boat
CT2019_072,072,17/7/2019,48,55.169,125,33.420,48,54.016,125,32.364,1230,2,18,NA,N,spoons and flashers,N,0.5,overcast,
CT2019_073,073,17/7/2019,48,54.016,125,32.364,48,53.710,125,31.530,1300,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_074,074,17/7/2019,48,53.710,125,31.530,48,52.806,125,29.994,1330,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_075,075,17/7/2019,48,52.806,125,29.994,48,51.536,125,28.436,1400,2,18,NA,N,spoons and flashers,Y,1,overcast,
CT2019_076,076,17/7/2019,48,51.536,125,28.436,48,52.499,125,29.150,1430,2,18,NA,sea lion,spoons and flashers,Y,1,overcast,"on rocks, not foraging in area"
CT2019_077,077,17/7/2019,48,52.499,125,29.150,48,53.349,125,30.380,1500,2,18,NA,N,spoons and flashers,Y,1,overcast,STOP at 1530 and 48 53.349 125 30.380
CT2019_078,078,23/7/2019,48,52.053,125,32.392,48,50.084,125,32.542,0620,2,24,NA,N,spoons and flashers,Y,0.5,cloudy,
CT2019_079,079,23/7/2019,48,50.084,125,32.542,48,49.373,125,34.168,0700,2,24,NA,N,spoons and flashers,Y,1,cloudy,
CT2019_080,080,23/7/2019,48,49.373,125,34.168,48,48.810,125,36.053,0730,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_081,081,23/7/2019,48,48.810,125,36.053,48,48.294,125,37.995,0800,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_082,082,23/7/2019,48,48.294,125,37.995,48,47.838,125,40.160,0830,2,24,NA,N,spoons and flashers,Y,1,cloudy,
CT2019_083,083,23/7/2019,48,47.838,125,40.160,48,48.088,125,42.170,0900,2,24,NA,N,spoons and flashers,N,1,cloudy,
CT2019_084,084,23/7/2019,48,48.088,125,42.170,48,48.345,125,44.229,0930,2,26,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_085,085,23/7/2019,48,48.345,125,44.229,48,48.598,125,46.210,1000,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_086,086,23/7/2019,48,48.598,125,46.210,48,49.244,125,45.466,1030,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_087,087,23/7/2019,48,49.244,125,45.466,48,49.918,125,49.742,1100,2,26,NA,N,spoons and flashers,N,0.5,sunny,CHECK START LAT/LONG
CT2019_088,088,23/7/2019,48,49.918,125,49.742,48,50.893,125,51.596,1130,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_089,089,23/7/2019,48,50.893,125,51.596,48,50.979,125,49.638,1200,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_090,090,23/7/2019,48,50.979,125,49.638,48,51.127,125,47.787,1230,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_091,091,23/7/2019,48,51.127,125,47.787,48,51.520,125,45.424,1300,2,26,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_092,092,23/7/2019,48,51.520,125,45.424,48,52.004,125,43.630,1330,2,26,NA,N,spoons and flashers,Y,0.5,sunny,
CT2019_093,093,23/7/2019,48,52.004,125,43.630,48,52.594,125,41.683,1400,2,20,NA,N,spoons and flashers,N,0.25,sunny,
CT2019_094,094,23/7/2019,48,52.594,125,41.683,48,53.302,125,39.537,1430,2,20,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_095,095,23/7/2019,48,53.302,125,39.537,48,53.870,125,37.600,1500,2,20,NA,N,spoons and flashers,N,0.5,sunny,
CT2019_096,096,23/7/2019,48,53.870,125,37.600,48,54.417,125,35.919,1530,2,20,NA,N,spoons and flashers,N,0,sunny,
CT2019_097,097,23/7/2019,48,54.417,125,35.919,48,54.764,125,33.518,1600,2,18,NA,N,spoons and flashers,N,0.25,sunny,
CT2019_098,098,23/7/2019,48,54.764,125,33.518,48,55.087,125,33.236,1630,2,18,NA,N,spoons and flashers,N,0.25,sunny,STOP at 1700 and 48 55.087 125 33.236
CT2019_099,099,24/7/2019,48,38.185,125,38.234,48,36.382,125,39.140,0750,2,30,NA,N,spoons and flashers,Y,0,sunny,
CT2019_100,100,24/7/2019,48,36.382,125,39.140,48,34.821,125,40.377,0830,2,30,NA,N,spoons and flashers,Y,0,sunny,
CT2019_101,101,24/7/2019,48,34.821,125,40.377,48,33.609,125,42.368,0915,2,32,NA,N,spoons and flashers,Y,0,sunny,
CT2019_102,102,24/7/2019,48,33.609,125,42.368,48,33.085,125,43.436,0945,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_103,103,24/7/2019,48,33.085,125,43.436,48,32.400,125,45.416,1015,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_104,104,24/7/2019,48,32.400,125,45.416,48,32.094,125,47.491,1045,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_105,105,24/7/2019,48,32.094,125,47.491,48,31.792,125,49.489,1115,2,36,NA,N,spoons and flashers,Y,0,sunny,
CT2019_106,106,24/7/2019,48,31.792,125,49.489,48,31.646,125,50.545,1145,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_107,107,24/7/2019,48,31.646,125,50.545,48,31.083,125,51.991,1200,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_108,108,24/7/2019,48,31.083,125,51.991,48,30.396,125,53.521,1230,2,36,NA,N,spoons and flashers,Y,0,cloudy,
CT2019_109,109,24/7/2019,48,30.396,125,53.521,48,30.273,125,53.544,1300,2,36,NA,N,spoons and flashers,N,0,sunny,STOP at 1305 and 48 30.273 125 53.544
CT2019_110,110,24/7/2019,48,30.561,125,52.352,48,30.947,125,50.125,1345,2,36,NA,N,spoons and flashers,Y,0,cloudy,check start coords
CT2019_111,111,24/7/2019,48,30.947,125,50.125,48,31.333,125,47.813,1415,2,36,NA,N,spoons and flashers,Y,0,cloudy,check start long
CT2019_112,112,24/7/2019,48,31.333,125,47.813,48,31.753,125,46.437,1445,2,36,NA,N,spoons and flashers,Y,0,cloudy,
